id,date,tweet,tweet_proc,score,polarity
1.49542E+18,20-Feb-2022 (15:47:03),"@betawi_pinggir @TofaTofa_id Iya, kayak Sirkuit mandalika yg akhirnya hrs diaspal ulang. Bikin malu indonesia aja...","['iya', 'kayak', 'sirkuit', 'mandalika', 'aspal', 'ulang', 'bikin', 'malu', 'indonesia']",-5,0
1.49542E+18,20-Feb-2022 (15:43:38),@AdninLohang @LionaNara @TofaTofa_id mandalika yg sdh dipastikan ternyata belum kelar juga.,"['mandalika', 'kelar']",3,1
1.49542E+18,20-Feb-2022 (15:34:45),"Cok urip kok cepet banget yoo, koyok sirkuit mandalika.","['cok', 'urip', 'cepat', 'banget', 'ayo', 'koyok', 'sirkuit', 'mandalika']",5,1
1.49542E+18,20-Feb-2022 (15:33:24),"@__Sridiana_3va Mainnya krg jauh, kek ketua rt-rw, yg diliatnya cm jkt, g liat kecebong cpt, bandara mangkrak, mandalika, wadas, penimbunan migor, aturan jht, kkn putra mahkota, esemka super sonic, suap sekjen dan segudang isu nasional","['main', 'krg', 'kayak', 'ketua', 'rt', 'rw', 'lihat', 'jakarta', 'lihat', 'kecebong', 'cepat', 'bandara', 'mangkrak', 'mandalika', 'wadas', 'timbun', 'migor', 'atur', 'jht', 'kkn', 'putra', 'mahkota', 'esemka', 'super', 'sonic', 'suap', 'sekjen', 'gudang', 'isu', 'nasional']",-3,0
1.49542E+18,20-Feb-2022 (15:24:57),@ABSetyono @MotoGP @kemkominfo @PlateJohnny @jokowi @henrysubiakto @AleixEspargaro @dennysirregar7 @delArdian_ @Aryprasetyo85 @myozhyme @putrivio3 Jaringan di Mandalika mantap sudah support 5G.@kemkominfo,"['jaring', 'mandalika', 'mantap', 'support']",12,1
1.49542E+18,20-Feb-2022 (15:18:31),@JemuneG @feri_ulakan @AKamas0911 @Uki23 @musniumar Emang mandalika yg udah 2 tahun dikerjakan sdh beres..? Masih diaspal tuh..!!,"['mandalika', 'beres', 'aspal', 'tuh']",0,1
1.49542E+18,20-Feb-2022 (15:17:58),@jek___ ngeluh mulu lu biawak mandalika,"['ngeluh', 'mulu', 'biawak', 'mandalika']",-3,0
1.49542E+18,20-Feb-2022 (15:17:10),@AKamas0911 @Uki23 @musniumar Emang mandalika dapat sponsor..??,"['mandalika', 'sponsor']",2,1
1.49541E+18,20-Feb-2022 (15:05:14),@CasanovaX8X @jokowi @MotoGP @Aryprasetyo85 @theT4ntryS1 @LibraWati5 @SimbokeSarah @zi_vot @lettachantik @tnmuda @Speedtrap_ @K_Nyelepot @newIding30 @SIWE_NDARA @NinjaCir3ng @mikuroQ @Posmaltobing @Annas_Cim @kaoompoosink @TrisiyoWong Mandalika the best .. Karya terbaik dari pemimpin visioner...😎😎👍🇮🇩🇮🇩,"['mandalika', 'the', 'best', 'karya', 'baik', 'pimpin', 'visioner']",5,1
1.49541E+18,20-Feb-2022 (15:03:15),@Sjaechu @liskenhsitorus @AloysiusCandra Kadrun bangke..otak nggak dipake... Pihak Mandalika dan Dorna sdh sepakat lintasan yg diperbaiki cuma 17% dari total lintasan dan diperbaiki sesuai standar MotoGP...goblok kok kebangetan...,"['kadrun', 'bangkai', 'otak', 'pakai', 'mandalika', 'dorna', 'sepakat', 'lintas', 'baik', 'total', 'lintas', 'baik', 'sesuai', 'standar', 'motogp', 'goblok', 'banget']",1,1
